aluguel,CEP,Município,Bairro,Logradouro,Condomínio,IPTU,Tamanho,Vagas na garagem,Área útil,Banheiros,Tipo,Aluguel + Condomínio,Detalhes do imóvel,Detalhes do condomínio,Área construída,Acomoda,Características
155.000,26221200,Nova Iguaçu,Centro,Rua Professora Venina Correa Torres - de 108/109 ao fim,,,25m²,,,,,,,,,,
1.500,22770233,Rio de Janeiro,Pechincha,Rua Professor Henrique Costa - até 726 - lado par,R$ 550,R$ 98,,1,62m²,2,Padrão,R$ 2.050,"Academia, Ar condicionado, Área de serviço, Armários na cozinha, Armários no quarto, Churrasqueira, Piscina, Varanda","Academia, Condomínio fechado, Elevador, Piscina, Portaria, Salão de festas, Segurança 24h",,,
2.000,22775057,Rio de Janeiro,Barra da Tijuca,Avenida João Cabral de Mello Neto,R$ 1.363,R$ 5.610,54m²,1,,,,,,,,,
1.200,21931576,Rio de Janeiro,Portuguesa,Rua Gustavo Augusto de Resende,R$ 410,R$ 0,,1,50m²,1,Padrão,R$ 1.610,"Área de serviço, Armários na cozinha","Condomínio fechado, Salão de festas",,,
2.200,21321230,Rio de Janeiro,Vila Valqueire,Rua Luiz Beltrão - até 559/560,R$ 360,R$ 100,,1,120m²,2,Padrão,R$ 2.560,,Condomínio fechado,,,
1.700,22750054,Rio de Janeiro,Freguesia (Jacarepaguá),Rua Comandante Rúbens Silva - de 450 ao fim - lado par,R$ 1.000,R$ 113,,1,80m²,3,Padrão,R$ 2.700,"Academia, Área de serviço, Armários na cozinha, Piscina, Quarto de serviço, Varanda","Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas, Segurança 24h",,,
2.500,22630010,Rio de Janeiro,Barra da Tijuca,Avenida Lúcio Costa - de 3102 a 3604 - lado par,R$ 3.097,R$ 611,,1,52m²,1,Padrão,R$ 5.597,"Armários na cozinha, Piscina, Varanda","Permitido animais, Piscina, Segurança 24h",,,
1.200,20541170,Rio de Janeiro,Andaraí,Rua Leopoldo - até 469/470,R$ 0,R$ 208,36m²,0,,,,,,,,,
20.000,22795008,Rio de Janeiro,Recreio dos Bandeirantes,Avenida Lúcio Costa - de 15500 a 17296 - lado par,R$ 2.683,R$ 2.004,,3,410m²,5 ou mais,Cobertura,R$ 22.683,"Ar condicionado, Churrasqueira, Piscina, Varanda","Elevador, Piscina",,,
10.000,22250020,Rio de Janeiro,Flamengo,Avenida Rui Barbosa,R$ 1.643,R$ 749,,2,142m²,4,Padrão,R$ 11.643,"Academia, Ar condicionado, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Elevador, Piscina, Salão de festas",,,
24.000,22441090,Rio de Janeiro,Leblon,Rua General Venâncio Flores,R$ 5.300,R$ 2.581,,2,289m²,5 ou mais,Padrão,R$ 29.300,"Ar condicionado, Varanda",Elevador,,,
6.000,22020020,Rio de Janeiro,Copacabana,Rua Duvivier,R$ 1.300,R$ 300,,1,155m²,5 ou mais,Padrão,R$ 7.300,,,,,
11.000,22430210,Rio de Janeiro,Leblon,Rua João Líra,R$ 1.764,R$ 810,,2,165m²,3,Padrão,R$ 12.764,"Ar condicionado, Varanda","Elevador, Salão de festas, Segurança 24h",,,
16.900.000,22420006,Rio de Janeiro,Ipanema,Avenida Vieira Souto - de 378 a 526 - lado par,R$ 6.900,R$ 3.450,,2,280m²,5 ou mais,Padrão,,"Ar condicionado, Mobiliado",Elevador,,,
39.000,22420006,Rio de Janeiro,Ipanema,Avenida Vieira Souto - de 378 a 526 - lado par,R$ 6.900,R$ 3.450,,2,280m²,5 ou mais,Padrão,R$ 45.900,"Ar condicionado, Mobiliado",Elevador,,,
3.300,21021370,Rio de Janeiro,Olaria,Rua Doutor Nunes,R$ 0,R$ 314,330m²,5 ou mais,,,,,,,,,
1.800,22020001,Rio de Janeiro,Copacabana,Avenida Nossa Senhora de Copacabana - de 46 a 558 - lado par,R$ 764,R$ 132,,,45m²,1,Padrão,R$ 2.564,,Elevador,,,
1.100,26261130,Nova Iguaçu,Vila Avelina,Rua José dos Anjos,R$ 200,R$ 0,,1,45m²,1,Padrão,R$ 1.300,"Academia, Churrasqueira, Mobiliado, Piscina","Academia, Condomínio fechado, Piscina, Salão de festas",,,
4.100,20540132,Rio de Janeiro,Vila Isabel,Rua Pereira Nunes - até 210 - lado par,R$ 0,R$ 190,145m²,3,,,,,,,,,
3.000,20511310,Rio de Janeiro,Tijuca,Rua Radmacker,R$ 550,R$ 100,,1,100m²,4,Padrão,R$ 3.550,"Área de serviço, Mobiliado",Elevador,,,
8.000,22783121,Rio de Janeiro,Vargem Pequena,Rua Professor Santos Moreira,R$ 0,R$ 0,,1,,4,Padrão,R$ 8.000,"Armários na cozinha, Churrasqueira, Piscina","Permitido animais, Piscina",315m²,,
17.000,22793082,Rio de Janeiro,Barra da Tijuca,Avenida das Américas - de 9303/9304 a 12001/12002,R$ 6.320,R$ 5.230,600m²,0,,,,,,,,,
1.600,22760401,Rio de Janeiro,Freguesia (Jacarepaguá),Avenida Geremário Dantas - de 1066 ao fim - lado par,R$ 760,R$ 600,,1,55m²,1,Padrão,R$ 2.360,,"Elevador, Salão de festas",,,
800,20031040,Rio de Janeiro,Centro,Rua Evaristo da Veiga,R$ 565,R$ 138,27m²,0,,,,,,,,,
300.000,26260290,Nova Iguaçu,da Luz,Rua Emília de Jesus,R$ 546,R$ 90,,1,70m²,1,Padrão,,"Armários na cozinha, Churrasqueira, Mobiliado, Piscina","Piscina, Salão de festas, Segurança 24h",,,
1.600,26260290,Nova Iguaçu,da Luz,Rua Emília de Jesus,R$ 546,R$ 90,,1,70m²,1,Padrão,R$ 2.146,"Armários na cozinha, Churrasqueira, Mobiliado, Piscina","Piscina, Salão de festas, Segurança 24h",,,
800,26553160,Mesquita,Centro,Rua Prefeito José Montes Paixão - de 1105 ao fim - lado ímpar,R$ 0,R$ 33,15m²,0,,,,,,,,,
525.000,26022137,Nova Iguaçu,Carmari,Rua Guerra Junqueiro,R$ 0,R$ 90,10m²,0,,,,,,,,,
20.000,26255310,Nova Iguaçu,Centro,Rua Alberto Torres,R$ 0,R$ 2.050,600m²,0,,,,,,,,,
600,20031040,Rio de Janeiro,Centro,Rua Evaristo da Veiga,R$ 563,R$ 141,27m²,0,,,,,,,,,
3.500,26022137,Nova Iguaçu,Carmari,Rua Guerra Junqueiro,R$ 0,R$ 90,10m²,0,,,,,,,,,
1.650,26261130,Nova Iguaçu,Vila Avelina,Rua José dos Anjos,R$ 0,R$ 0,,1,45m²,1,Padrão,R$ 1.650,,,,,
4.500,25953600,Teresópolis,Várzea,Rua Olegário Bernardes,R$ 0,R$ 2.332,,5 ou mais,,3,Padrão,R$ 4.500,,,5000m²,,
350.000,26216010,Nova Iguaçu,Califórnia,Rua Adélia Chaves,R$ 0,R$ 90,,0,100m²,2,Padrão,,,,,,
2.000,26216010,Nova Iguaçu,Califórnia,Rua Adélia Chaves,R$ 0,R$ 90,,0,100m²,2,Padrão,R$ 2.000,,,,,
900,24754191,São Gonçalo,Tribobó,Rua Dalva Raposo - lado ímpar,R$ 287,R$ 80,,1,60m²,1,Padrão,R$ 1.187,"Churrasqueira, Piscina","Condomínio fechado, Piscina, Salão de festas",,,
1.600,24756660,São Gonçalo,Maria Paula,Avenida da Abdias José dos Santos - lado ímpar,R$ 546,R$ 78,,1,70m²,1,Padrão,R$ 2.146,"Academia, Churrasqueira, Piscina, Varanda","Academia, Condomínio fechado, Piscina, Salão de festas",,,
1.200,22783240,Rio de Janeiro,Vargem Pequena,Estrada José Duarte,R$ 270,R$ 0,,1,44m²,1,Padrão,R$ 1.470,Churrasqueira,"Condomínio fechado, Permitido animais",,,
99.999.999,22011030,Rio de Janeiro,Copacabana,Rua Felipe de Oliveira,R$ 999.999,R$ 999.999,,0,37m²,1,Padrão,R$ 100.999.998,"Ar condicionado, Mobiliado","Elevador, Portaria",,,
800,22031012,Rio de Janeiro,Copacabana,Rua Figueiredo Magalhães - de 2 ao fim - lado par,R$ 458,R$ 264,45m²,,,,,,,,,,
2.800,22783127,Rio de Janeiro,Barra da Tijuca,Avenida Salvador Allende,R$ 700,R$ 65,,1,51m²,1,Padrão,R$ 3.500,"Churrasqueira, Mobiliado, Piscina, Varanda","Condomínio fechado, Piscina, Salão de festas, Segurança 24h",,,
7.500,25958365,Teresópolis,Carlos Guinle,Avenida das Quaresmas,R$ 0,R$ 0,,2,,4,Casa de condomínio,R$ 7.500,,,1000m²,,
1.200,20031060,Rio de Janeiro,Centro,Rua Francisco Serrador,R$ 600,R$ 0,,,40m²,1,Padrão,R$ 1.800,Mobiliado,Elevador,,,
1.550,22780085,Rio de Janeiro,Jacarepaguá,Estrada dos Bandeirantes - de 6535 a 7993 - lado ímpar,R$ 780,R$ 70,,1,35m²,1,Loft,R$ 2.330,"Academia, Ar condicionado, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Elevador, Piscina, Salão de festas, Segurança 24h",,,
1.500,22785590,Rio de Janeiro,Vargem Grande,Rua Esperança,R$ 50,R$ 15,30m²,,,,,,,,,,
900,20551070,Rio de Janeiro,Vila Isabel,Rua Torres Homem - até 549/550,R$ 0,R$ 0,,,23m²,1,Padrão,R$ 900,,,,,
13.000,22790540,Rio de Janeiro,Recreio dos Bandeirantes,Rua Desembargador Paulo Alonso,R$ 0,R$ 56.327,822m²,5 ou mais,,,,,,,,,
1.100,26130420,Belford Roxo,Santo Antônio da Prata,Rua Almeida Santos,R$ 0,R$ 0,,0,,2,Padrão,R$ 1.100,,,85m²,,
1.300,20261065,Rio de Janeiro,Rio Comprido,Rua do Bispo - de 126 a 230 - lado par,R$ 778,R$ 589,,1,64m²,1,Padrão,R$ 2.078,"Academia, Ar condicionado, Churrasqueira, Piscina","Academia, Elevador, Permitido animais, Piscina, Portaria, Salão de festas",,,
2.000,28680000,Cachoeiras de Macacu,,,,R$ 150,2400m²,,,,Sítios e chácaras,,,,,,
380.000,20940050,Rio de Janeiro,São Cristóvão,Rua do Parque,R$ 864,R$ 59,,1,75m²,1,Padrão,,,"Condomínio fechado, Elevador, Permitido animais, Portaria, Salão de festas",,,
1.800,20940050,Rio de Janeiro,São Cristóvão,Rua do Parque,R$ 864,R$ 59,,1,75m²,1,Padrão,R$ 2.664,,"Condomínio fechado, Elevador, Permitido animais, Portaria, Salão de festas",,,
1.400,22795570,Rio de Janeiro,Recreio dos Bandeirantes,Avenida Gilka Machado - até 851/852,R$ 0,R$ 0,20m²,1,,,,,,,,,
2.500,22723510,Rio de Janeiro,Taquara,Rua dos Biólogos,R$ 0,R$ 0,100m²,2,,,,,,,,,
1.100,26553160,Mesquita,Centro,Rua Prefeito José Montes Paixão - de 1105 ao fim - lado ímpar,R$ 0,R$ 25,30m²,0,,,,,,,,,
2.600,26553110,Mesquita,Centro,Praça Elizabeth Paixão,R$ 0,R$ 88,78m²,0,,,,,,,,,
670.000,22630010,Rio de Janeiro,Barra da Tijuca,Avenida Lúcio Costa - de 3102 a 3604 - lado par,R$ 3.097,R$ 611,,1,52m²,1,Padrão,,"Armários na cozinha, Piscina, Varanda","Permitido animais, Piscina, Segurança 24h",,,
2.500,22790671,Rio de Janeiro,Recreio dos Bandeirantes,Rua Silvia Pozzano,R$ 1.312,R$ 195,,2,78m²,2,Padrão,R$ 3.812,"Armários na cozinha, Churrasqueira, Piscina","Piscina, Salão de festas, Segurança 24h",,,
1.700,22765007,Rio de Janeiro,Anil,Avenida Tenente-Coronel Muniz de Aragão - de 1077 ao fim - lado ímpar,R$ 650,R$ 0,,1,50m²,1,Padrão,R$ 2.350,"Academia, Ar condicionado, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Elevador, Piscina, Salão de festas",,,
3.200,22775024,Rio de Janeiro,Jacarepaguá,Avenida Ator José Wilker,R$ 1.310,R$ 203,,1,84m²,2,Padrão,R$ 4.510,"Academia, Piscina","Academia, Piscina, Segurança 24h",,,
750,22755002,Rio de Janeiro,Freguesia (Jacarepaguá),Estrada dos Três Rios - até 266 - lado par,R$ 540,R$ 166,25m²,,,,,,,,,,
1.250,20715003,Rio de Janeiro,Engenho Novo,Rua Barão do Bom Retiro - até 982 - lado par,R$ 530,R$ 0,,1,71m²,2,Padrão,R$ 1.780,,Elevador,,,
600,20031120,Rio de Janeiro,Centro,Rua das Marrecas,R$ 420,R$ 113,21m²,,,,,,,,,,
2.800,22780160,Rio de Janeiro,Jacarepaguá,Avenida Salvador Allende,R$ 700,R$ 65,,1,51m²,1,Padrão,R$ 3.500,"Academia, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Elevador, Piscina, Salão de festas, Segurança 24h",,,
6.000,22775055,Rio de Janeiro,Barra da Tijuca,Avenida Luís Carlos Prestes,R$ 14.633,R$ 2.027,204m²,5 ou mais,,,,,,,,,
5.000,22050002,Rio de Janeiro,Copacabana,Avenida Nossa Senhora de Copacabana - de 583 a 831 - lado ímpar,R$ 0,R$ 0,,1,65m²,1,Padrão,R$ 5.000,"Ar condicionado, Mobiliado",,,,
650,21011260,Rio de Janeiro,Braz de Pina,Rua Uruara,R$ 0,R$ 0,,,,1,Padrão,R$ 650,,,30m²,,
2.300,24933595,Maricá,Jardim Atlântico Leste (Itaipuaçu),Avenida Henriqueta Rios Rosa - de Quadra 362 a Quadra 365,R$ 200,R$ 60,,2,,2,Padrão,R$ 2.500,"Ar condicionado, Churrasqueira, Varanda",Condomínio fechado,88m²,,
2.200,20735160,Rio de Janeiro,Méier,Rua Venceslau,R$ 790,R$ 40,,1,80m²,2,Padrão,R$ 2.990,"Ar condicionado, Mobiliado",Elevador,,,
8.000,26260130,Nova Iguaçu,Conjunto Residencial Redenção,Rua Brandão Miranda,,,340m²,0,,,,,,,,,
1.600,25555201,São João de Meriti,Jardim Meriti,Avenida Prefeito José de Amorim,,,37m²,,,,,,,,,,
1.700,22745281,Rio de Janeiro,Freguesia (Jacarepaguá),Rua Comandante Rúbens Silva - até 451 - lado ímpar,R$ 1.002,R$ 113,,0,92m²,1,Padrão,R$ 2.702,,,,,
900,21070230,Rio de Janeiro,Penha,Rua Aimoré,,,,0,,2,Padrão,R$ 900,"Área de serviço, Armários na cozinha, Varanda",Permitido animais,,,
1.500,26210060,Nova Iguaçu,Centro,Avenida Governador Amaral Peixoto,,,,1,,1,Padrão,R$ 1.500,"Armários na cozinha, Piscina","Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas, Segurança 24h",,,
700,23080020,Rio de Janeiro,Campo Grande,Rua Barcelos Domingos,R$ 220,R$ 921,45m²,,,,,,,,,,
2.800,22780160,Rio de Janeiro,Jacarepaguá,Avenida Salvador Allende,R$ 700,R$ 65,,1,51m²,1,Padrão,R$ 3.500,"Piscina, Varanda","Elevador, Piscina, Salão de festas",,,
3.500,26255330,Nova Iguaçu,Palmeiras,Rua Afrânio Peixoto,R$ 1.120,R$ 220,,2,105m²,1,Padrão,R$ 4.620,"Academia, Área de serviço, Armários na cozinha, Churrasqueira, Piscina, Varanda","Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas",,,
2.000,26260130,Nova Iguaçu,Conjunto Residencial Redenção,Rua Brandão Miranda,,,400m²,0,,,,,,,,,
2.300.000,22210030,Rio de Janeiro,Flamengo,Praia do Flamengo - até 193/194,R$ 2.650,R$ 789,,2,214m²,4,Padrão,,"Ar condicionado, Churrasqueira","Condomínio fechado, Elevador, Permitido animais, Portaria",,,
7.000,22210030,Rio de Janeiro,Flamengo,Praia do Flamengo - até 193/194,R$ 2.650,R$ 789,,2,214m²,4,Padrão,R$ 9.650,"Ar condicionado, Churrasqueira","Condomínio fechado, Elevador, Permitido animais, Portaria",,,
900,23092205,Rio de Janeiro,Campo Grande,Estrada Professor Daltro Santos,R$ 0,R$ 0,,1,48m²,1,Padrão,R$ 900,"Churrasqueira, Piscina","Condomínio fechado, Permitido animais, Piscina, Portaria, Salão de festas",,,
6.500,26600000,Paracambi,,,R$ 0,R$ 0,600m²,,,,,,,,,,
8.000,26260130,Nova Iguaçu,Conjunto Residencial Redenção,Rua Brandão Miranda,,,220m²,0,,,,,,,,,
1.000,24754221,São Gonçalo,Maria Paula,Rua Dalva Raposo - lado ímpar,R$ 280,,,0,,1,Padrão,R$ 1.280,"Academia, Churrasqueira, Varanda","Condomínio fechado, Permitido animais, Piscina, Portaria, Salão de festas, Segurança 24h",,,
700,25515090,São João de Meriti,Centro,Rua Acacio Novais Pinheiro,,,,,,1,Casa de vila,,Área de serviço,,,,
1.000,25545260,São João de Meriti,Agostinho Porto,Rua Joaquim Coelho Alamo,,,,1,,1,Casa de vila,R$ 1.000,,,,,
1.200,25540412,São João de Meriti,Parque São Judas Tadeu,Avenida Presidente Kennedy - de 313 ao fim - lado ímpar,,,,1,,1,Padrão,R$ 1.200,,,,,
80.000,22743040,Rio de Janeiro,Pechincha,Estrada Capenha - até 99998 - lado par,,,1653m²,0,,,,,,,,,
150.000,22743040,Rio de Janeiro,Pechincha,Estrada Capenha - até 99998 - lado par,,,3849m²,0,,,,,,,,,
110.000,22743040,Rio de Janeiro,Pechincha,Estrada Capenha - até 99998 - lado par,,,2973m²,0,,,,,,,,,
4.000,22790704,Rio de Janeiro,Recreio dos Bandeirantes,Avenida das Américas - de 15598 a 20000 - lado par,R$ 1.386,R$ 398,,1,139m²,2,Cobertura,R$ 5.386,"Academia, Ar condicionado, Churrasqueira, Mobiliado, Piscina","Academia, Piscina, Salão de festas",,,
,25995290,Teresópolis,Bonsucesso,"Estrada Doutor Rogério de Moura Estevão - do km 27,501 ao km 31,000",,,650m²,5 ou mais,,,,,,,,,
1.600,24935590,Maricá,Jardim Atlântico Oeste (Itaipuaçu),Rua Ulisses Guimarães - de Quadra 50 a Quadra 53,R$ 0,R$ 50,,1,,1,Padrão,R$ 1.600,,Condomínio fechado,55m²,,
2.100,22780160,Rio de Janeiro,Jacarepaguá,Avenida Salvador Allende,R$ 600,R$ 70,,1,51m²,1,Padrão,R$ 2.700,"Área de serviço, Armários na cozinha, Armários no quarto, Varanda","Academia, Condomínio fechado, Elevador, Piscina, Portaria, Salão de festas, Segurança 24h",,,
1.200,23028255,Rio de Janeiro,Guaratiba,Rua Joaquim de Carvalho,,,,1,,2,Padrão,R$ 1.200,"Área de serviço, Varanda",Permitido animais,100m²,,
4.800,22790382,Rio de Janeiro,Recreio dos Bandeirantes,Estrada Benvindo de Novaes - de 1212 ao fim - lado par,R$ 1.200,R$ 2.350,,,86m²,2,Padrão,R$ 6.000,"Academia, Ar condicionado, Churrasqueira, Piscina","Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Salão de festas",,,
500,22780084,Rio de Janeiro,Jacarepaguá,Estrada dos Bandeirantes - de 6700 a 7928 - lado par,R$ 50,R$ 981,50m²,0,,,,,,,,,
4.000,22753280,Rio de Janeiro,Jacarepaguá,Rua Armstrong,R$ 390,R$ 606,,0,,5 ou mais,Padrão,R$ 4.390,"Armários na cozinha, Churrasqueira, Piscina","Permitido animais, Piscina",390m²,,
800,21341270,Rio de Janeiro,Praça Seca,Rua Pinto Teles,R$ 400,R$ 0,,1,60m²,1,Padrão,R$ 1.200,Varanda,,,,
19.500,22080060,Rio de Janeiro,Ipanema,Rua Joaquim Nabuco - de 127/128 ao fim,R$ 3.500,R$ 1.791,,2,246m²,5 ou mais,Padrão,R$ 23.000,,Elevador,,,
1.200,21241051,Rio de Janeiro,Vigário Geral,Avenida Brasil - de 14601 a 16689 - lado ímpar,R$ 344,R$ 0,,1,47m²,1,Padrão,R$ 1.544,"Área de serviço, Churrasqueira, Piscina","Piscina, Salão de festas, Segurança 24h",,,
3.900,26553110,Mesquita,Centro,Praça Elizabeth Paixão,R$ 0,R$ 187,131m²,0,,,,,,,,,
1.300,21380320,Rio de Janeiro,Cascadura,Rua Cerqueira Daltro,R$ 883,R$ 59,,1,56m²,2,Padrão,R$ 2.183,"Churrasqueira, Piscina, Varanda","Permitido animais, Piscina, Salão de festas, Segurança 24h",,,
2.200,20241320,Rio de Janeiro,Santa Teresa,Rua Joaquim Murtinho,R$ 780,R$ 106,,0,82m²,2,Padrão,R$ 2.980,"Armários na cozinha, Churrasqueira",,,,
18.000,22220010,Rio de Janeiro,Catete,Rua Andrade Pertence,R$ 0,R$ 4.923,424m²,0,,,,,,,,,
6.800,20520170,Rio de Janeiro,Tijuca,Rua Doutor Pereira dos Santos,R$ 0,R$ 0,,1,,2,Padrão,R$ 6.800,,,180m²,,
600,20071001,Rio de Janeiro,Centro,Avenida Presidente Vargas - de 592 a 914 - lado par,R$ 430,R$ 128,21m²,0,,,,,,,,,
3.970,22070012,Rio de Janeiro,Copacabana,Avenida Nossa Senhora de Copacabana - de 1170 ao fim - lado par,R$ 1.800,R$ 832,,1,231m²,3,Padrão,R$ 5.770,,,,,
900,21042670,Rio de Janeiro,Bonsucesso,Rua São Geraldo,R$ 0,R$ 0,,0,70m²,1,Padrão,R$ 900,,,,,
900,21042670,Rio de Janeiro,Bonsucesso,Rua São Geraldo,R$ 0,R$ 0,,0,70m²,1,Padrão,R$ 900,,,,,
5.000,26553110,Mesquita,Centro,Praça Elizabeth Paixão,R$ 0,R$ 275,209m²,0,,,,,,,,,
35.000,20551031,Rio de Janeiro,Vila Isabel,Boulevard Vinte e Oito de Setembro - até 134 - lado par,R$ 0,R$ 3.329,400m²,0,,,,,,,,,
2.200,20031007,Rio de Janeiro,Centro,Avenida Treze de Maio,R$ 0,R$ 0,190m²,0,,,,,,,,,
5.000,21351050,Rio de Janeiro,Madureira,Estrada do Portela - até 279 - lado ímpar,R$ 1.300,R$ 439,39m²,0,,,,,,,,,
750,22775028,Rio de Janeiro,Jacarepaguá,Avenida Almirante Júlio de Sá Bierrenbach,R$ 1.243,R$ 91,25m²,1,,,,,,,,,
7.000,22793081,Rio de Janeiro,Barra da Tijuca,Avenida das Américas - de 6735/6736 a 9301/9302,R$ 4.611,R$ 1.068,,2,170m²,2,Padrão,R$ 11.611,"Armários na cozinha, Churrasqueira, Piscina","Piscina, Segurança 24h",,,
1.800,22733010,Rio de Janeiro,Praça Seca,Rua Albano,R$ 0,R$ 121,,0,,2,Padrão,R$ 1.800,Churrasqueira,,291m²,,
3.000,20735130,Rio de Janeiro,Méier,Rua Medina,R$ 643,R$ 502,68m²,0,,,,,,,,,
700,25545120,São João de Meriti,Agostinho Porto,Avenida Doutor Roberto Silveira,R$ 0,R$ 33,,0,,1,Padrão,R$ 700,,,50m²,,
1.700,24901055,Maricá,Centro,Rua Doutor Milton de Souza Pacheco,R$ 0,R$ 0,,1,,1,Padrão,R$ 1.700,Varanda,,10m²,,
1.500,25966252,Teresópolis,Quebra Frascos,Alameda Monte Castelo,R$ 201,R$ 0,,1,50m²,1,Padrão,R$ 1.701,,,,,
700,20521160,Rio de Janeiro,Tijuca,Rua Desembargador Izidro,,,5m²,0,,,,,,,,,
1.500,25015580,Duque de Caxias,Parque Lafaiete,Rua Alcântara,R$ 111,R$ 111,,0,35m²,1,Kitnet,R$ 1.611,,,,,
3.500,20560120,Rio de Janeiro,Vila Isabel,Rua Visconde de Santa Isabel - até 375/376,R$ 0,R$ 450,100m²,0,,,,,,,,,
1.600,20771422,Rio de Janeiro,Del Castilho,Rua Honório - de 1951/1952 ao fim,R$ 160,R$ 0,,,87m²,1,Padrão,R$ 1.760,Varanda,,,,
7.500,22795285,Rio de Janeiro,Recreio dos Bandeirantes,Rua Le Corbusier,R$ 100,R$ 150,,2,,3,Padrão,R$ 7.600,"Armários na cozinha, Churrasqueira",Permitido animais,200m²,,
20.000,22210050,Rio de Janeiro,Flamengo,Rua Correa Dutra,R$ 0,R$ 4.600,857m²,,,,,,,,,,
7.500,24753120,São Gonçalo,Rio do Ouro,Rua Jorge Rachid,R$ 0,R$ 1.239,323m²,0,,,,,,,,,
1.200,24410375,São Gonçalo,Tenente Jardim,Rua Doutor March - lado ímpar,R$ 0,R$ 0,,1,,1,Padrão,R$ 1.200,,,80m²,,
680,25955050,Teresópolis,São Pedro,Rua Governador Roberto Silveira,R$ 60,R$ 28,,0,29m²,1,Padrão,R$ 740,,,,,
1.200,25961165,Teresópolis,Alto,Rua Augusto do Amaral Peixoto,R$ 530,R$ 32,,1,38m²,1,Padrão,R$ 1.730,"Churrasqueira, Piscina","Condomínio fechado, Elevador, Piscina",,,
895,21220170,Rio de Janeiro,Vila Kosmos,Rua Tembés,R$ 130,R$ 41,,0,69m²,1,Padrão,R$ 1.025,,,,,
700,25963026,Teresópolis,Várzea,Avenida Feliciano Sodré - de 717 a 977 - lado ímpar,R$ 389,R$ 49,,1,40m²,1,Padrão,R$ 1.089,Piscina,"Condomínio fechado, Piscina",,,
3.000,22040002,Rio de Janeiro,Copacabana,Rua Barata Ribeiro - de 208 a 570 - lado par,R$ 2.100,R$ 264,,1,59m²,2,Loft,R$ 5.100,"Ar condicionado, Área de serviço, Mobiliado, Piscina, Varanda","Elevador, Piscina, Salão de festas, Segurança 24h",,,
2.950,22250040,Rio de Janeiro,Botafogo,Praia Botafogo - de 285/286 ao fim,R$ 550,R$ 0,,,30m²,1,Padrão,R$ 3.500,Mobiliado,Elevador,,,
1.300,20725231,Rio de Janeiro,Lins de Vasconcelos,Rua Pedro de Carvalho - de 591 ao fim - lado ímpar,R$ 540,R$ 61,,1,54m²,1,Padrão,R$ 1.840,,"Elevador, Segurança 24h",,,
5.000,22775033,Rio de Janeiro,Jacarepaguá,Avenida Vice-Presidente José Alencar,R$ 1.800,R$ 244,,1,95m²,3,Padrão,R$ 6.800,"Academia, Ar condicionado, Churrasqueira, Piscina","Academia, Elevador, Piscina, Salão de festas",,,
1.800,21220301,Rio de Janeiro,Vicente de Carvalho,Avenida Pastor Martin Luther King Jr - de 06220 a 07374 - lado par,R$ 512,R$ 0,,1,45m²,1,Padrão,R$ 2.312,"Churrasqueira, Piscina","Elevador, Piscina, Salão de festas, Segurança 24h",,,
1.000,21235280,Rio de Janeiro,Colégio,Estrada do Colégio,R$ 370,R$ 0,,1,45m²,1,Padrão,R$ 1.370,"Academia, Churrasqueira, Piscina","Academia, Elevador, Piscina, Salão de festas, Segurança 24h",,,
3.500,23040150,Rio de Janeiro,Campo Grande,Estrada Cachamorra - até 1554 - lado par,R$ 0,R$ 1.020,,3,,3,Padrão,R$ 3.500,"Churrasqueira, Piscina",Piscina,300m²,,
3.850,22775170,Rio de Janeiro,Jacarepaguá,Rua Queiros Júnior,R$ 800,R$ 170,,1,10m²,2,Padrão,R$ 4.650,"Ar condicionado, Área de serviço, Churrasqueira, Mobiliado, Piscina, Varanda","Condomínio fechado, Elevador, Piscina, Portaria, Salão de festas",,,
1.250,26011152,Nova Iguaçu,Jardim Tropical,Rua Damas Batista - de 914 ao fim - lado par,R$ 400,R$ 0,,1,48m²,1,Padrão,R$ 1.650,"Churrasqueira, Piscina, Varanda","Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas",,,
700,26377375,Queimados,Vila São João,Estrada Antônio Soares,R$ 200,R$ 0,,0,45m²,1,Padrão,R$ 900,"Churrasqueira, Piscina","Condomínio fechado, Piscina, Salão de festas",,,
4.200,22451040,Rio de Janeiro,Gávea,Rua Marquês de São Vicente - até 132 - lado par,R$ 948,R$ 2.320,,1,47m²,1,Padrão,R$ 5.148,,"Elevador, Permitido animais, Portaria",,,
1.200,23045160,Rio de Janeiro,Campo Grande,Rua Olinda Ellis - até 617/618,R$ 470,R$ 0,,1,54m²,1,Padrão,R$ 1.670,Churrasqueira,"Condomínio fechado, Elevador, Portaria, Salão de festas",,,
300.000,20950003,Rio de Janeiro,São Francisco Xavier,Avenida Marechal Rondon - até 709 - lado ímpar,R$ 400,R$ 0,,1,75m²,1,Padrão,,Ar condicionado,,,,
