aluguel,CEP,Município,Bairro,Logradouro,Condomínio,IPTU,Tamanho,Vagas na garagem,Área útil,Banheiros,Tipo,Aluguel + Condomínio,Detalhes do imóvel,Detalhes do condomínio,Área construída,Acomoda,Características
3.800,21041020,Rio de Janeiro,Bonsucesso,Avenida Paris,,,63m²,1,,,,,,,,,
349.000,20780200,Rio de Janeiro,Cachambi,,R$ 1.050,R$ 108,,1,85m²,2,Padrão,,"Ar condicionado, Área de serviço, Churrasqueira","Elevador, Permitido animais, Salão de festas, Segurança 24h",,,
4.800,22631280,Rio de Janeiro,Barra da Tijuca,Avenida Gastão Senges,R$ 0,R$ 0,,1,42m²,1,Loft,R$ 4.800,"Academia, Ar condicionado, Armários na cozinha, Armários no quarto, Mobiliado, Piscina, Varanda","Academia, Condomínio fechado, Elevador, Piscina, Portaria, Segurança 24h",,,
2.500,25085135,Duque de Caxias,Parque Duque,Rua Almirante Grenfall,R$ 0,R$ 0,,1,46m²,1,Padrão,R$ 2.500,"Academia, Área de serviço, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Condomínio fechado, Permitido animais, Piscina, Salão de festas",,,
380.000,20541330,Rio de Janeiro,Grajaú,Rua Rosa e Silva - de 1 ao fim - lado ímpar,R$ 619,R$ 0,,1,60m²,1,Padrão,,Churrasqueira,"Elevador, Portaria, Salão de festas",,,
1.300,25250415,Duque de Caxias,Mantiquira,Avenida Ana Dantas,R$ 300,,,1,46m²,1,Padrão,R$ 1.600,Piscina,"Condomínio fechado, Permitido animais, Piscina, Segurança 24h",,,
2.800,22790714,Rio de Janeiro,Recreio dos Bandeirantes,Avenida Salvador Allende,R$ 1.150,R$ 258,,1,80m²,3,Padrão,R$ 3.950,"Academia, Churrasqueira, Piscina","Academia, Condomínio fechado, Permitido animais, Piscina, Portaria, Salão de festas",,,
2.000,26032680,Nova Iguaçu,Ponto Chic,Rua José de Mattos,R$ 0,R$ 0,,1,,1,Padrão,R$ 2.000,Área de serviço,,30m²,,
0,22775003,Rio de Janeiro,Barra da Tijuca,Avenida Ayrton Senna - de 662 a 3200 - lado par,R$ 0,R$ 0,81m²,5 ou mais,,,,,,,,,
3.500.000,22441090,Rio de Janeiro,Leblon,Rua General Venâncio Flores,R$ 2.000,R$ 470,,1,105m²,3,Padrão,,"Ar condicionado, Mobiliado",Elevador,,,
11.000,22441090,Rio de Janeiro,Leblon,Rua General Venâncio Flores,R$ 2.000,R$ 470,,1,105m²,3,Padrão,R$ 13.000,"Ar condicionado, Mobiliado",Elevador,,,
6.000,22775057,Rio de Janeiro,Barra da Tijuca,Avenida João Cabral de Mello Neto,R$ 1.534,R$ 340,,1,99m²,2,Padrão,R$ 7.534,Piscina,"Elevador, Piscina, Salão de festas",,,
4.000,22620171,Rio de Janeiro,Barra da Tijuca,Avenida Pepe - de 712 a 1430 - lado par,R$ 1.377,R$ 407,,1,57m²,1,Loft,R$ 5.377,"Ar condicionado, Mobiliado, Piscina, Varanda","Elevador, Piscina",,,
2.100.000,21940006,Rio de Janeiro,Jardim Guanabara,Rua Jorge de Lima,R$ 2.600,R$ 1.000,,3,400m²,4,Cobertura,,"Churrasqueira, Piscina","Elevador, Piscina",,,
5.000,21940006,Rio de Janeiro,Jardim Guanabara,Rua Jorge de Lima,R$ 2.600,R$ 1.000,,3,400m²,4,Cobertura,R$ 7.600,"Churrasqueira, Piscina","Elevador, Piscina",,,
1.400,22745310,Rio de Janeiro,Freguesia (Jacarepaguá),Rua Firmino do Amaral,R$ 846,R$ 90,,1,58m²,1,Padrão,R$ 2.246,"Ar condicionado, Varanda","Elevador, Permitido animais, Segurança 24h",,,
1.300,21911180,Rio de Janeiro,Freguesia (Ilha do Governador),Rua Silveira Sampaio,R$ 470,R$ 0,,1,71m²,1,Padrão,R$ 1.770,,,,,
4.500,22783560,Rio de Janeiro,Vargem Pequena,Rua Daniel Barreto dos Santos,R$ 600,R$ 100,,0,,3,Padrão,R$ 5.100,"Churrasqueira, Varanda",,150m²,,
10.500,22620170,Rio de Janeiro,Barra da Tijuca,Avenida Pepe - até 710 - lado par,R$ 0,R$ 0,,1,90m²,1,Loft,R$ 10.500,"Mobiliado, Piscina, Varanda","Elevador, Piscina",,,
1.100,20730040,Rio de Janeiro,Engenho de Dentro,Rua Daniel Carneiro,R$ 270,R$ 68,,0,83m²,1,Padrão,R$ 1.370,,,,,
12.500,22790721,Rio de Janeiro,Recreio dos Bandeirantes,Rua Paulo Klabin,R$ 800,R$ 888,,3,,5 ou mais,Casa de condomínio,R$ 13.300,,,334m²,,
3.600,22775060,Rio de Janeiro,Jacarepaguá,Rua Aroazes,R$ 1.000,R$ 232,,1,93m²,3,Padrão,R$ 4.600,,"Condomínio fechado, Portaria",,,
5.990,22050011,Rio de Janeiro,Copacabana,Rua Domingos Ferreira - de 1 ao fim - lado ímpar,R$ 1.766,R$ 466,,0,119m²,3,Padrão,R$ 7.756,Mobiliado,"Elevador, Portaria",,,
2.200,26112290,Belford Roxo,Areia Branca,Rua Marcílio Dias,,,,,,2,,,,,,,
1.900,22081025,Rio de Janeiro,Copacabana,Rua Júlio de Castilhos,R$ 700,,,0,30m²,1,Padrão,R$ 2.600,Mobiliado,,,,
180.000,21921100,Rio de Janeiro,Cacuia,Rua Almirante Pestana,R$ 257,R$ 0,,1,37m²,1,Padrão,,Churrasqueira,,,,
800,21921100,Rio de Janeiro,Cacuia,Rua Almirante Pestana,R$ 257,R$ 0,,1,37m²,1,Padrão,R$ 1.057,Churrasqueira,,,,
4.200,21931230,Rio de Janeiro,Jardim Guanabara,Rua Babaçu,R$ 980,R$ 480,,3,195m²,5 ou mais,Padrão,R$ 5.180,"Ar condicionado, Área de serviço, Varanda",Elevador,,,
800,20080080,Rio de Janeiro,Saúde,Ladeira Morro do Valongo,R$ 0,R$ 0,,0,,1,Casa de vila,R$ 800,Varanda,,20m²,,
